Manufacturer,Model Name,CPU,RAM,GPU,Price
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,4970628
Asus,Rog G701VIK-BA060T,Intel Core i7 7820HK 2.9GHz,16GB,Nvidia GeForce GTX 1080,26667108
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6002100
Apple,MacBook Pro,Intel Core i5 3.1GHz,8GB,Intel Iris Plus Graphics 650,18139680
Dell,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7282548
Asus,ROG G752VSK-GC493T,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 980M,15996708
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5 M420,4170348
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,16441308
Acer,Aspire 5,Intel Core i3 7130U 2.7GHz,4GB,Nvidia GeForce MX130,6242184
Dell,Vostro 5370,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,8438508
HP,15-BW094nd (A6-9220/8GB/128GB/W10),AMD A6-Series A6-9220 2.5GHz,8GB,AMD Radeon R4 Graphics,3964942.8
HP,Envy 17-U275cl,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,9416628
MSI,GT73EVR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,22221108
Lenovo,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,15107508
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,10154664
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3948048
HP,ProBook 450,Intel Core i5 8250U 1.6GHz,4GB,Intel HD Graphics 620,6420024
Dell,Vostro 3568,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,5842044
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,AMD Radeon R5 M430,5023980
Dell,Inspiron 5579,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,7104708
Asus,ZenBook Flip,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,13329108
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4152564
HP,Probook 470,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 930MX,9052056
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7824960
Apple,MacBook Pro,Intel Core i5 2.9GHz,8GB,Intel Iris Graphics 550,17418538.8
Asus,Rog Strix,AMD Ryzen 1700 3GHz,16GB,AMD Radeon RX 580,13773708
Dell,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 520,6536242.44
Lenovo,ThinkPad X1,Intel Core i7 6600U 2.6GHz,16GB,Intel HD Graphics 520,22221108
Toshiba,Satellite Pro,Intel Core i7 6500U 2.5GHz,8GB,Nvidia GeForce 930M,7220304
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,12GB,Intel HD Graphics 620,6340618.44
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,9772308
Acer,Aspire A515-51G,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX130,6624540
Lenovo,IdeaPad 320-17ISK,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,4348188
Lenovo,IdeaPad 320-17IKBR,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,7549308
Lenovo,IdeaPad 320-17IKB,Intel Core i7 7500U 2.7GHz,6GB,Nvidia GeForce 940MX,7638228
Dell,Inspiron 3567,Intel Core i3 6006U 2.0GHz,4GB,AMD Radeon R5 M430,3805776
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,7371468
Lenovo,Ideapad 320-15IKBN,Intel Core i5 7200U 2.5GHz,6GB,Intel HD Graphics 620,5148468
Acer,Aspire A517-51G,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,8456292
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Intel Core i7 7500U 2.7GHz,12GB,Intel HD Graphics 620,5859828
Lenovo,Thinkpad T570,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 630,9754524
Asus,VivoBook S15,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,8687484
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,10483668
Lenovo,IdeaPad 320-15IKB,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,5859916.92
Acer,Chromebook C910-C2ST,Intel Celeron Dual Core 3205U 1.5GHz,2GB,Intel HD Graphics,1769508
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,10554804
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,4348188
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,16263468
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,6571188
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,11550708
Acer,Aspire A715-71G,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,8705268
Dell,Precision 7720,Intel Core i7 7820HQ 2.9GHz,16GB,Nvidia Quadro M1200,25652175.12
Lenovo,IdeaPad 310-15ABR,AMD A10-Series 9600P 2.4GHz,6GB,AMD Radeon R5 430,4437108
Asus,ZenBook UX530UQ-PRO,Intel Core i7 7500U 2.7GHz,16GB,Nvidia GeForce 940MX,13053456
Asus,VivoBook S14,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,4526028
Asus,Rog GL702VS-GC095T,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,18868824
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce GTX 940M,5770908
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,4881708
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,11248380
Lenovo,IdeaPad 320-15IAP,Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,3201031.08
HP,EliteBook x360,Intel Core i7 7600U 2.8GHz,16GB,Intel HD Graphics 620,17561700
Toshiba,Satellite Pro,Intel Core i7 6500U 2.5GHz,8GB,Nvidia GeForce 930M,9274356
Lenovo,IdeaPad 320-15IKB,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,7282548
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,4170348
Lenovo,IdeaPad 720S-13IKB,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8883108
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,22221108
MSI,GE63VR 7RF,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,18664308
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),AMD A8-Series 7410 2.2GHz,8GB,AMD Radeon R5,4170348
Asus,VivoBook Flip,Intel Celeron Dual Core N3350 1.1GHz,2GB,Intel HD Graphics 500,2445300
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,7504848
HP,Spectre x360,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,21776508
Lenovo,ThinkPad 13,Intel Celeron Dual Core 3855U 1.6GHz,4GB,Intel HD Graphics 510,4089430.8
HP,ProBook 640,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8714160
Acer,TravelMate B,Intel Pentium Quad Core N3710 1.6GHz,4GB,Intel HD Graphics 405,4312620
HP,Elitebook 840,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,11488464
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,4GB,Nvidia GeForce 920MX,5237388
Asus,ZenBook UX410UA-GV183T,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,9727848
HP,ProBook 450,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,8020584
Acer,Aspire 5,AMD A12-Series 9720P 2.7GHz,8GB,AMD Radeon RX 540,5859828
Lenovo,IdeaPad 120S-14IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2596464
Acer,Aspire E5-575,Intel Core i5 7200U 2.5GHz,6GB,Intel HD Graphics 620,4881708
Asus,VivoBook S15,Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,9335710.8
HP,Elitebook 820,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,11870820
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,32GB,Nvidia GeForce GTX 1050,23465988
MSI,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,10661508
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8385156
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,11861928
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3992508
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,8883108
HP,EliteBook 840,Intel Core i5 7300U 2.6GHz,8GB,Intel HD Graphics 620,11275056
Dell,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 940MX,9327708
HP,Elitebook 850,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,10172448
Asus,X541NA (N3350/4GB/1TB/Linux),Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2445211.08
Dell,Inspiron 7570,Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 940MX,10161333
Dell,Inspiron 3552,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics,2444410.8
Lenovo,IdeaPad 320-15ABR,AMD A12-Series 9720P 3.6GHz,12GB,AMD Radeon 530,7993908
HP,ProBook 450,Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 930MX,6366672
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,18664308
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,14040468
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,10039068
HP,Stream 14-AX001nv,Intel Celeron Dual Core N3060 1.6GHz,2GB,Intel HD Graphics 400,2480868
Dell,Latitude 5590,Intel Core i7 8650U 1.9GHz,16GB,Intel UHD Graphics 620,14297980.32
Asus,VivoBook Flip,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,3334500
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,5895396
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,18027818.64
HP,Elitebook 850,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,11595168
MSI,GP72MVR 7RFX,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,12528828
HP,Zbook 15,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,15456696.84
Toshiba,Tecra A50-C-21G,Intel Core i7 6500U 2.5GHz,16GB,Nvidia GeForce 930M,12475476
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,8633242.8
Lenovo,IdeaPad 320-15IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2863135.08
Dell,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,8883108
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,4956134.04
Dell,Latitude 7480,Intel Core i5 7300U 2.6GHz,8GB,Intel HD Graphics 620,12688884
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3903588
Asus,Zenbook UX410UA-GV027T,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8402940
Lenovo,IdeaPad 320-17IKB,Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce GTX 940MX,6393348
HP,250 G6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,5681988
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,8GB,Nvidia GeForce 920MX,4437108
HP,15-AY023na (N3710/8GB/2TB/W10),Intel Pentium Quad Core N3710 1.6GHz,8GB,Intel HD Graphics 405,3458988
Dell,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,9647820
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,7193628
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R7 M445,7993908
HP,Elitebook 1040,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,15561000
Asus,ZenBook Flip,Intel Core i7 7500U 2.7GHz,12GB,Nvidia GeForce GT 940MX,9772308
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,3787992
Asus,Rog Strix,AMD Ryzen 1700 3GHz,16GB,AMD Radeon RX 580,19553508
Lenovo,IdeaPad 110-17ACL,AMD A8-Series 7410 2.2GHz,4GB,AMD Radeon R5,4348188
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,7727236.92
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,4348099.08
Lenovo,Yoga 11e,Intel Celeron Quad Core N3450 1.1GHz,4GB,Intel HD Graphics 500,4917276
Dell,Inspiron 3552,Intel Celeron Dual Core N3060 1.60GHz,4GB,Intel HD Graphics 400,2747628
Asus,VivoBook E403NA,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2543112
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,7522632
HP,Omen 17-w212nv,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,10590372
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3587922
Asus,ROG Strix,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,14716260
Lenovo,IdeaPad 720S-14IKB,Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,9772308
Asus,Zenbook Flip,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,15551218.8
Lenovo,Thinkpad X1,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,20291544
Lenovo,Ideapad 510S-13IKB,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,4881708
Dell,Precision 3510,Intel Core i5 6440HQ 2.6GHz,8GB,AMD FirePro W5130M,12173148
Dell,Precision 5520,Intel Core i7 6820HQ 2.7GHz,8GB,Nvidia Quadro M1200,18984420
Lenovo,ThinkPad X1,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,22310028
Asus,Rog GL753VD-GC042T,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,9238788
Asus,Rog GL753VE-GC070T,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,14147172
Acer,Aspire 5,Intel Core i5 8250U 1.6GHz,12GB,Nvidia GeForce MX130,6170959.08
MSI,Leopard GP72M,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,11995308
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R7 M445,6925712.04
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,AMD A9-Series 9420 3GHz,4GB,AMD Radeon 520,4437108
Lenovo,ThinkPad E580,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon RX 550,10933247.52
Lenovo,ThinkPad L470,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8340696
Dell,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,24115104
Lenovo,Thinkpad X1,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,23341500
Lenovo,IdeaPad 320-15IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2720952
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,13595868
Lenovo,ThinkPad E580,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon RX 550,10176894
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,7816068
MSI,GE73VR 7RF,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,19998108
Asus,Zenbook 3,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,16654716
Toshiba,Portege Z30-C-16P,Intel Core i7 6500U 2.5GHz,16GB,Intel HD Graphics 520,15534324
Dell,Latitude 7480,Intel Core i7 7600U 2.8GHz,8GB,Intel HD Graphics,14938560
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,3636828
Lenovo,Lenovo IdeaPad,Intel Celeron Dual Core N3350 1.1GHz,2GB,Intel HD Graphics 500,2707169.4
Lenovo,ThinkPad P51,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,17117100
Lenovo,Thinkpad T470p,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GT 940MX,17277156
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Intel Core i3 6006U 2GHz,4GB,AMD Radeon 520,4170348
Acer,Aspire R7,Intel Core i7 6500U 2.5GHz,8GB,Intel HD Graphics 520,7015876.92
Asus,ZenBook Flip,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,8251776
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4GB,AMD Radeon R5 M430,5325418.8
Dell,Latitude 3380,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,6126588
HP,EliteBook 1040,Intel Core i7 6500U 2.5GHz,8GB,Intel HD Graphics 520,13338000
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,4801235.4
Lenovo,ThinkPad E480,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon RX 550,10807158.96
Lenovo,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,16885908
Chuwi,LapBook 12.3,Intel Celeron Quad Core N3450 1.1GHz,6GB,Intel HD Graphics 500,3992508
HP,ProBook 650,Intel Core i7 7820HQ 2.9GHz,8GB,Intel HD Graphics 630,12688884
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 940MX,5308524
Dell,Alienware 17,Intel Core i7 7820HK 2.9GHz,16GB,Nvidia GeForce GTX 1070,24888708
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,10305828
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,10158220.8
Dell,Latitude 5480,Intel Core i7 7600U 2.8GHz,8GB,Intel HD Graphics 620,9772308
HP,Omen 17-w207nv,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1070,17775108
Mediacom,FlexBook Edge,Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,2658708
Samsung,Chromebook 3,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,2391948
Lenovo,Thinkpad 13,Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,8980920
Lenovo,IdeaPad 320s-14IKB,Intel Core i3 7130U 2.7GHz,4GB,Intel HD Graphics 620,5326308
Lenovo,Thinkpad T570,Intel Core i7 7600U 2.8GHz,16GB,Nvidia GeForce 940MX,21740940
Lenovo,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,16GB,Nvidia Quadro M2200M,21776508
Asus,Rog Strix,AMD Ryzen 1600 3.2GHz,8GB,AMD Radeon RX 580,15071940
HP,15-ra044nv (N3060/4GB/500GB/W10),Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,3085524
Google,Pixelbook (Core,Intel Core i7 7Y75 1.3GHz,16GB,Intel HD Graphics 615,19553508
Lenovo,ThinkPad T470s,Intel Core i7 7500U 2.7GHz,24GB,Intel HD Graphics 620,21180744
Asus,VivoBook Max,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,4970628
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.5GHz,8GB,AMD Radeon R4,4614948
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4GB,AMD Radeon 530,6660108
Lenovo,ThinkPad X270,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,12706668
Lenovo,IdeaPad 320-15IAP,Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,3103308
HP,Omen 15-AX205na,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,9772308
Dell,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,8GB,Nvidia GeForce 930MX,10483668
Acer,Aspire ES1-572,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,3928485.6
Dell,Precision 3520,Intel Xeon E3-1505M V6 3GHz,8GB,Nvidia Quadro M620,17721756
MSI,GV62 7RD-1686NL,Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,9138664.08
Microsoft,Surface Laptop,Intel Core i7 7660U 2.5GHz,16GB,Intel Iris Plus Graphics 640,23021388
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,5237388
Dell,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16GB,Nvidia Quadro M620,17561700
HP,ProBook 650,Intel Core i7 7820HQ 2.9GHz,8GB,Intel HD Graphics 620,13640328
Lenovo,ThinkPad T470,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,11959740
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,8705268
Dell,Inspiron 3168,Intel Pentium Quad Core N3710 1.6GHz,4GB,Intel HD Graphics 405,4259268
Dell,Alienware 17,Intel Core i7 7700HQ 2.7GHz,8GB,Nvidia GeForce GTX 1060,18193032
Microsoft,Surface Laptop,Intel Core M m3-7Y30 2.2GHz,4GB,Intel HD Graphics 615,8794188
Microsoft,Surface Laptop,Intel Core i7 7660U 2.5GHz,8GB,Intel Iris Plus Graphics 640,15996708
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,5689990.8
Acer,Aspire E5-576G,Intel Core i3 6006U 2GHz,4GB,Nvidia GeForce 940MX,4837248
Acer,TravelMate B,Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics 400,3868020
Asus,Pro P2540UA-AB51,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,6660108
Lenovo,IdeaPad 510s-14IKB,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R7 M460,7104708
Lenovo,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,8GB,Nvidia Quadro M2200M,18584280
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 500,2703168
Acer,Aspire 5,Intel Core i3 6006U 2GHz,4GB,Nvidia GeForce GTX 940MX,4170348
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,6749028
HP,Omen 17-an006nv,Intel Core i7 7700HQ 2.8GHz,12GB,Nvidia GeForce GTX 1060,15107508
Lenovo,Thinkpad T460s,Intel Core i7 6600U 2.6GHz,12GB,Intel HD Graphics 520,16521336
HP,Spectre x360,Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,17775108
HP,ZBook 15u,Intel Core i5 7200U 2.5GHz,8GB,AMD FirePro W4190M,10261368
Google,Pixelbook (Core,Intel Core i5 7Y57 1.2GHz,8GB,Intel HD Graphics 615,11337300
Dell,Latitude 7390,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,16377730.2
Asus,ZenBook Pro,Intel Core i7 6700HQ 2.6GHz,12GB,Intel HD Graphics 530,11550708
Dell,Latitude E5470,Intel Core i3 6100U 2.3GHz,8GB,Intel HD Graphics 520,6580080
Dell,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,21411936
Lenovo,Thinkpad T470,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,12128688
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 520,6002100
Toshiba,Portege X30-D-10J,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,14867424
Dell,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 940MX,11221704
Dell,Vostro 3568,Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,5216047.2
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,Intel UHD Graphics 620,6455592
Chuwi,"Lapbook 15,6",Intel Atom x5-Z8350 1.44GHz,4GB,Intel HD Graphics,2213218.8
Lenovo,ThinkPad E570,Intel Core i3 6006U 2.0GHz,4GB,Intel HD Graphics 520,5023980
Lenovo,ThinkPad E480,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,9327708
Dell,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16GB,Nvidia Quadro M620,20789496
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,16885908
Lenovo,Thinkpad X270,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,15987816
Asus,Zenbook UX390UA,Intel Core i7 7500U 2.7GHz,16GB,Intel HD Graphics 620,17339400
